insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(72000,'1984',2020,'청운동','청운빌라',10,16,144.36,'4-35',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(50000,'2008',2020,'명륜1가','명륜쉐르빌(A동)',10,16,69.365,'23-14',11110,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(31500,'2003',2020,'명륜1가','진한쉐르빌',10,20,62.88,'5-34',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(23500,'1994',2020,'명륜3가','도시빌라(1-110)',10,18,53.73,'1-110',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(17000,'1997',2020,'창신동','(629-33)',10,6,34.24,'629-33',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(12000,'1995',2020,'창신동','(639-30)',10,9,32.29,'639-30',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(33000,'2017',2020,'창신동','신호빌',10,13,29.88,'23-23',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(26500,'1996',2020,'창신동','(629-28)',10,19,44.53,'629-28',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(11500,'1997',2020,'창신동','(619-1)',10,26,28.95,'619-1',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(24900,'1989',2020,'창신동','(619-2)',10,27,40.75,'619-2',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(18500,'2012',2020,'숭인동','숭인제일빌라',10,20,52.72,'525',11110,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(7000,'1993',2020,'숭인동','현도빌라',10,28,24.16,'573',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(19000,'1999',2020,'홍파동','한영빌라',10,13,46.46,'2-30',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(20000,'1996',2020,'행촌동','(210-424)',10,3,44.52,'210-424',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(20500,'2001',2020,'행촌동','성우빌라6차',10,10,59.68,'171-174',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(37200,'2001',2020,'행촌동','(171-84)',10,12,72.6,'171-84',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(28000,'2000',2020,'행촌동','성우빌라B동',10,13,51.88,'171-120',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(15000,'1999',2020,'행촌동','(1-3)',10,22,45.7,'1-3',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(5300,'2001',2020,'행촌동','현대빌라',10,23,23.4,'171-48',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(23500,'1999',2020,'행촌동','옥영주택',10,24,54.37,'1-12',11110,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(24500,'2001',2020,'행촌동','현대빌라',10,24,59.95,'171-48',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(6400,'2000',2020,'행촌동','(171-101)',10,25,17.43,'171-101',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(22750,'1996',2020,'구기동','(50-31)',10,7,55.35,'50-31',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(140000,'1990',2020,'구기동','건덕빌라(5-7동)',10,10,152.62,'154-3',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(64000,'2003',2020,'구기동','삼보월드빌(가,나동)',10,13,97.41,'69-2',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(46000,'2002',2020,'구기동','천지인하우스(17-7)',10,24,77.25,'17-7',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(47500,'2003',2020,'평창동','산타빌라',10,8,103.36,'185',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(20000,'1990',2020,'평창동','한명그린빌라',10,18,62.62,'234-34',11110,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(104500,'1992',2020,'평창동','아름마을',10,24,140.4,'350-2',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(57000,'1992',2020,'평창동','금강주택',10,29,84.95,'170',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(73000,'1998',2020,'부암동','승림힐스',10,10,231.44,'126',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(34000,'2004',2020,'부암동','정한빌라(1,2호)',10,17,73.17,'384-10',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(45000,'2020',2020,'부암동','부암포레스트B',10,18,46.51,'44-3',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(35000,'2006',2020,'부암동','부암빌라(238-5)',10,22,76.13,'238-5',11110,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(57000,'1990',2020,'홍지동','경진주택(다동)',10,24,82.5,'69-49',11110,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(38000,'2004',2020,'신영동','동오블루빌(2차)',10,15,65.51,'105-3',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(20500,'1989',2020,'신영동','완성주택',10,19,35.01,'213-1',11110,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(44300,'1981',2020,'회현동1가','회현맨션',10,23,97.88,'148-2',11140,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(14700,'1987',2020,'장충동1가','(38-29)',10,21,31.62,'38-29',11140,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(11800,'2000',2020,'신당동','양지빌라A동',10,5,30.21,'432-1974',11140,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(38000,'1978',2020,'신당동','에이동,비동,씨동',10,5,60.2,'346-493',11140,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(32000,'2011',2020,'신당동','세종빌리지',10,6,53.94,'432-1182',11140,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(31000,'1995',2020,'신당동','에덴빌라 A동',10,8,48.6,'62-26',11140,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(57800,'2020',2020,'신당동','레이나',10,9,48.08,'432-1692',11140,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(55800,'2020',2020,'신당동','레이나',10,9,47.61,'432-1692',11140,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(32100,'2017',2020,'신당동','(333-66)',10,15,29.96,'333-66',11140,6,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(28000,'2015',2020,'신당동','신당밸류(333-45)',10,15,29.24,'333-45',11140,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(26400,'2019',2020,'신당동','라비앙',10,21,25.23,'349-233',11140,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(27700,'2015',2020,'신당동','민 하우스',10,21,29.69,'304-413',11140,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(29500,'2015',2020,'신당동','데일리빌',10,21,29.79,'80-75',11140,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(34000,'2015',2020,'신당동','연희 하이빌',10,22,37.76,'333-40',11140,5,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(24500,'2001',2020,'신당동','양지빌라B동',10,23,75.19,'432-1976',11140,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(38500,'2020',2020,'신당동','(400-3)',10,24,29.95,'400-3',11140,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(22000,'2004',2020,'신당동','명경빌라',10,24,61.17,'432-1984',11140,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(53000,'2020',2020,'신당동','레이나',10,25,40.92,'432-1692',11140,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(13000,'2001',2020,'신당동','도연무 빌리지',10,26,44.3,'432-521',11140,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(15000,'1997',2020,'신당동','(366-138)',10,29,53.4,'366-138',11140,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(14000,'2010',2020,'황학동','(1085-0)',10,16,24.88,'1085',11140,5,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(24500,'2015',2020,'황학동','골드캐슬Ⅰ',10,23,29.79,'1725',11140,10,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(77000,'1986',2020,'중림동','(392-1)',10,6,69.24,'392-1',11140,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(37750,'2002',2020,'후암동','명아트빌3차',10,7,64.95,'247-14',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(35000,'2015',2020,'후암동','평화타운3차',10,9,34.08,'55-9',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(34000,'2014',2020,'후암동','평화타운1동',10,11,29.94,'254-108',11170,5,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(56200,'2020',2020,'후암동','후암신비빌B',10,14,29.78,'47-2',11170,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(27800,'1995',2020,'후암동','(30-57)',10,16,47.28,'30-57',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(56500,'2012',2020,'후암동','(30-25)',10,19,72.29,'30-25',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(40000,'2008',2020,'후암동','(38-2)',10,20,50.4,'38-2',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(18500,'2007',2020,'후암동','백년파크빌',10,21,15.93,'49-23',11170,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(18000,'1986',2020,'후암동','(43-68)',10,21,33.04,'43-68',11170,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(121000,'1985',2020,'후암동','후암빌라(142-54)',10,23,135.551,'142-54',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(33000,'2007',2020,'후암동','예인아트빌 나동(444-16)',10,26,42.78,'444-16',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(31500,'2007',2020,'후암동','예인아트빌 가,나',10,27,43.22,'30-33',11170,5,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(79500,'1996',2020,'후암동','스위스빌',10,27,112.46,'244-108',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(20000,'2007',2020,'후암동','(406-7)',10,29,27.08,'406-7',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(10500,'1992',2020,'용산동2가','(25-3)',10,8,33.2,'25-3',11170,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(22000,'2007',2020,'용산동2가','(5-948)',10,10,22.05,'5-948',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(44800,'2001',2020,'용산동2가','(5-1446)',10,15,84.8,'5-1446',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(33500,'2008',2020,'용산동2가','(1-1935)',10,16,50.64,'1-1935',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(26000,'1994',2020,'용산동2가','근화빌라',10,19,32.31,'5-1238',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(45000,'1980',2020,'용산동2가','계수',10,19,51.12,'47-3',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(94500,'2003',2020,'갈월동','준하우스',10,17,65.86,'7-171',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(85000,'1991',2020,'갈월동','대동하이츠빌라',10,23,55.01,'6-32',11170,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(47800,'1986',2020,'동자동','(22-22)',10,26,71.02,'22-22',11170,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(36000,'1998',2020,'서계동','(246-47)',10,7,37.07,'246-47',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(60000,'2004',2020,'서계동','금좌빌라',10,13,85.07,'246-5',11170,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(25300,'1998',2020,'서계동','(257-4)',10,26,35.3,'257-4',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(29000,'1986',2020,'청파동1가','(3-30)',10,5,40.68,'3-30',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(34000,'1986',2020,'청파동1가','(3-111)',10,12,40.14,'3-111',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(40000,'1996',2020,'청파동1가','한마음빌라트',10,13,53.99,'97-13',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(29500,'2007',2020,'청파동1가','(97-16)',10,15,28.15,'97-16',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(56000,'2008',2020,'청파동1가','대명시티빌(97-37)',10,16,84.53,'97-37',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(35000,'2017',2020,'청파동1가','청파시온빌',10,17,26.55,'91-54',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(38000,'1988',2020,'청파동1가','엘림빌라',10,18,65.72,'1-59',11170,-1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(50500,'2004',2020,'청파동1가','드림하이츠빌',10,21,64.57,'100-23',11170,3,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(37000,'1994',2020,'청파동1가','우원빌라',10,23,28.86,'1-31',11170,4,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(45000,'2008',2020,'청파동1가','에이스빌2차',10,23,41.89,'1-26',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(56000,'1999',2020,'청파동1가','대성3차빌라',10,26,73.02,'1-5',11170,2,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(51000,'1988',2020,'청파동1가','엘림빌라A',10,26,64.4,'1-199',11170,1,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(40500,'2016',2020,'청파동1가','시온빌리지',10,26,29.46,'98-14',11170,5,0,false,true);
insert into housedeal(dealAmount, buildYear, dealYear, dong, AptName, dealMonth, dealDay, area, jibun, code, floor, rentMoney, aptType, dealType) values(19000,'1979',2020,'청파동1가','(202-20)',10,28,46.48,'202-20',11170,1,0,false,true);
